id,gender,age
09e8dc,1,75
1dd782,1,31
0efbaf,2,22
013a6c,2,26
091a48,2,50
1a72fe,1,55
1a5595,2,52
13236c,2,41
0cdb12,2,40
038dad,1,29
1d8c4e,2,71
08939c,1,18
75608,1,22
0fe0fd,1,69
0d7157,1,45
49899,1,64
113cf3,1,61
1b6e87,2,33
17016d,2,51
074c15,1,77
71659,1,84
1beb4d,1,59
1e5be0,1,53
17d1a5,1,41
0fe894,2,54
0259c1,2,51
1cbc07,2,51
189250,2,43
1818d0,1,23
08a55b,1,65
16e945,2,44
0331f6,1,31
107a6c,2,30
0b6a1d,2,32
189272,2,26
06d145,1,21
19b641,2,45
04ad90,2,30
034d6b,1,58
0b7c05,1,27
0bd1d8,1,44
152400,2,53
15f6dc,2,48
1.29E+101,1,68
0fe237,2,45
0830d5,1,51
12e856,2,60
1e1518,1,32
19405,2,32
12716c,1,47
12f5f1,1,31
1359ff,2,35
04b0c3,1,29
00c01a,2,45
0b24df,2,76
1e431b,2,24
057f38,1,33
1a8d54,2,54
05d15c,2,52
06947d,2,33
0172b5,1,48
99263,1,39
1d3bca,1,64
0e7582,1,37
1bb615,1,47
69480,1,40
042fb5,2,42
0b0c6e,2,30
01a85f,2,68
14e761,2,51
11c83e,1,29
0c6db9,2,70
00f012,1,47
1dcd61,1,32
1a9f12,1,74
15af88,2,31
1397f3,2,38
180e7c,2,54
10246a,1,27
02e9e0,2,39
1734b1,1,17
0cb01b,2,45
0a7882,1,36
0e926d,1,47
0bc888,2,8
39870,1,51
1a0772,1,6
065a2d,2,21
37359,2,32
1.79E+06,1,52
05114b,2,41
0c7b01,1,33
0900a5,1,17
1b6565,2,64
10ee9b,1,25
138f51,1,40
0d2a4f,1,33
00df62,1,43
080edb,1,25
95017,2,47
0a4cb4,2,49
13f24a,2,39
1acb93,1,30
064fed,1,26
33741,2,42
1b5860,2,28
16c12f,1,34
0e9d2a,2,61
0d0069,1,38
115d50,1,46
092f89,2,67
1ad4a9,1,35
14d062,2,29
00dcab,2,33
1931b4,1,55
0f7d19,1,24
1522fd,1,42
1c409b,1,54
10f1b0,1,28
0af195,1,32
1be9a8,2,21
0cfb10,2,35
19082c,1,45
02eb79,2,24
1951ec,2,38
160297,2,30
002a54,1,36
1a11f3,1,36
114f48,1,40
0378d2,1,39
135abc,1,57
14f98a,1,31
159393,1,18
1e48c6,2,42
0b1ce5,1,61
149ac2,2,33
116730,2,50
1d07b0,2,69
09961f,1,50
1c1ff2,1,52
1.51E+14,2,27
19b475,1,56
118947,2,2
1b62b3,2,58
105343,2,77
18dc8d,1,72
196ae1,1,73
17861c,1,38
0e4d86,1,45
015de8,1,38
09d945,2,32
0be204,1,27
02d9b0,2,50
016a77,1,60
042c13,1,57
0601b8,1,25
0f2a13,1,43
094fef,2,1
12144e,1,62
08c45e,1,69
0e84f0,1,54
08d0f7,1,62
1.08E+39,1,37
124c49,1,82
181027,1,34
0c7eab,1,21
18ab05,1,22
0767f1,1,4
0e986f,1,45
0a9147,1,32
15f384,1,76
07dda9,1,45
1d487b,1,38
1c06ff,1,50
76319,2,27
12ac19,1,19
0d2fca,1,43
1c0cf4,2,29
175213,1,32
0e97d5,2,21
08d5c7,1,37
0cddce,2,67
0efa37,2,80
097b28,2,27
19c895,1,32
134975,1,33
094eca,1,24
0b6c1f,2,29
19262b,1,27
174c4f,1,30
0c4d3b,1,89
0144cf,1,41
02c050,1,31
1cd411,2,30
111a1d,1,33
0b2a6f,1,26
056fff,2,40
1718f0,2,55
13cdf0,1,49
19e892,1,69
08fa4b,2,3
1e119d,1,43
116d8d,2,37
152121,2,38
116285,2,61
0a66a4,1,53
0ba0e2,2,25
1ad8dc,2,44
0dccf2,2,37
0b0848,1,46
10816b,1,40
09e8a5,2,49
1.30E+100,2,25
0d1070,1,58
12eb62,1,62
10b222,1,62
1348f6,2,27
0b57fe,2,52
1d829b,2,17
0f41e8,1,41
04833a,2,40
19d626,2,58
09d6c0,1,24
0c51ea,1,45
1ca36f,2,38
081c99,2,23
1257ca,2,23
0298f3,2,39
1.30E+101,2,48
09610c,1,42
16b331,2,33
19b2ce,2,61
0902a6,1,61
17540e,1,25
