inpatient_date,count
2020-01-01,5
2020-01-02,16
2020-01-03,18
2020-01-04,6
2020-01-05,14
2020-01-06,29
2020-01-07,27
2020-01-08,15
2020-01-09,45
2020-01-10,39
2020-01-11,5
2020-01-12,20
2020-01-13,36
2020-01-14,52
2020-01-15,59
2020-01-16,43
2020-01-17,42
2020-01-18,16
2020-01-19,21
2020-01-20,65
2020-01-21,52
2020-01-22,56
2020-01-23,46
2020-01-24,46
2020-01-25,15
2020-01-26,33
2020-01-27,43
2020-01-28,50
2020-01-29,30
2020-01-30,39
2020-01-31,31
2020-02-01,7
2020-02-02,12
2020-02-03,13
2020-02-04,51
2020-02-05,44
2020-02-06,44
2020-02-07,30
2020-02-08,8
2020-02-09,16
2020-02-10,71
2020-02-11,49
2020-02-12,41
2020-02-13,35
2020-02-14,31
2020-02-15,8
2020-02-16,17
2020-02-17,28
2020-02-18,32
2020-02-19,30
2020-02-20,23
2020-02-21,25
2020-02-22,12
2020-02-23,9
2020-02-24,32
2020-02-25,32
2020-02-26,38
2020-02-27,44
2020-02-28,66
2020-02-29,25
2020-03-01,27
2020-03-02,83
2020-03-03,74
2020-03-04,69
2020-03-05,64
2020-03-06,53
2020-03-07,23
2020-03-08,35
2020-03-09,79
2020-03-10,106
2020-03-11,135
2020-03-12,203
2020-03-13,282
2020-03-14,163
2020-03-15,172
2020-03-16,265
2020-03-17,453
2020-03-18,502
2020-03-19,588
2020-03-20,574
2020-03-21,397
2020-03-22,312
2020-03-23,833
2020-03-24,1129
2020-03-25,1237
2020-03-26,1210
2020-03-27,1454
2020-03-28,756
2020-03-29,741
2020-03-30,1657
2020-03-31,1488
2020-04-01,1552
2020-04-02,1653
2020-04-03,1714
2020-04-04,1038
2020-04-05,793
2020-04-06,1944
2020-04-07,1941
2020-04-08,2150
2020-04-09,1609
2020-04-10,1893
2020-04-11,1341
2020-04-12,1160
2020-04-13,2703
2020-04-14,2800
2020-04-15,2681
2020-04-16,2590
2020-04-17,2912
2020-04-18,1511
2020-04-19,1393
2020-04-20,3386
2020-04-21,3166
2020-04-22,2988
2020-04-23,3273
2020-04-24,3742
2020-04-25,2225
2020-04-26,1863
2020-04-27,4289
2020-04-28,4390
2020-04-29,4503
2020-04-30,4617
2020-05-01,2469
2020-05-02,1932
2020-05-03,567
